VvINV2,VvACYT,VvADH1,VvAGPL,VvHP,VvDMR6,VvLOX,VvOLP,VvSAMT,VvSUSY,VvWRKY,VvCASY,VvCKO,VvGLC1,VvGLC2,VvGLC3,status
-0.083272187,1.360405731,NA,0.269375778,0.116982138,0.741197883,-0.427497147,-0.454867327,-0.031789415,1.218748254,-0.266707346,0.90251857,-0.288713241,0.047021214,0.092203276,0.677509566,0
0.32410254,-0.028944803,NA,NA,-0.675253326,-0.741197883,1.337226176,0.290693358,0.772028645,-0.333468578,-0.469674525,0.480704124,NA,0.529290073,0.171946649,NA,0
-0.806961406,0.20261362,NA,-0.339277087,1.190669673,-0.723960722,-0.491668904,-0.816351295,-0.549502741,-0.873370084,-0.342001622,-1.281877664,-0.676619706,-1.068225523,NA,-1.024142366,0
-0.011382529,-0.260503225,NA,-0.482489525,-0.47719446,-0.172371601,0.398714227,-0.590423815,-0.522254671,NA,-0.296170324,NA,-0.781908604,-0.224255019,-0.137058923,1.559847604,0
-0.495439557,-1.186736914,0.35493576,-0.398948936,2.003753438,-0.361980362,-0.174820853,-0.500052823,-0.549502741,0.408895995,0.754675877,-0.543702385,NA,-0.682410436,-0.725166303,0.866582002,0
4.311582213,NA,5.486559618,0.161966448,5.631357926,5.240096657,3.29446477,8.762973866,1.575846704,3.850768099,3.475090805,-0.001369527,NA,3.308364373,5.066196195,9.973571041,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.966316814,NA,NA,1.582156465,0.596493076,-0.655012082,-0.427497148,-0.680794807,-0.522254671,-0.198493201,0.02792243,NA,-0.748659478,NA,-0.615519164,-0.992630294,0
1.047791759,-1.186736914,-2.807728671,5.377286088,0.742431187,3.895598173,0.302456591,13.43967271,0.826524785,1.421211319,-0.394380249,-0.377989568,-0.859489897,2.832123875,6.391929779,13.34536283,1
-0.476268982,0.434172042,0.924701059,-0.721176923,-0.821191438,-0.310268881,-0.375357594,0.516620838,NA,-0.940857773,-1.337195531,NA,NA,0.221843675,0.341401318,-0.898094075,0
-0.39958668,0.897288887,-1.705559732,-0.530227005,-1.457064638,-0.792909363,-0.395411269,1.75922198,0.06357883,-0.940857773,-1.238985606,NA,NA,-0.405105842,0.779989872,-1.134434621,0
-0.409171968,-1.186736914,-4.997121886,0.567735025,-1.582154449,-0.206845921,-0.315196572,9.169643333,-0.01816538,-2.088148475,-1.314279882,NA,NA,-0.935601587,1.547519841,-1.150190657,1
0.060507129,-1.186736914,-3.095413445,5.806923405,0.002316478,5.274570977,-0.315196572,12.62633378,2.31154459,-0.063517825,1.082042294,NA,NA,1.795245828,5.185811256,8.949428676,1
